"Interal Reference","Description","Retail","POS Category"
"04133102637","CANILLA LONG GRAIN RICE 10 LB",6.79,"Grocery"
"04133102638","CANILLA LG RICE 20 LB POLY BAG",11.99,"Grocery"
"04133102639","CANILLA LONG GRAIN RICE 20 LB",11.99,"Grocery"
"04133102640","CANILLA LONG GRAIN RICE 50 LB",30.69,"Grocery"
"04133102641","K-NILLA LONG GRAIN RICE 100 LB",59.69,"Grocery"
"04133102642","CANILLA GAYLORD   20 LB",11.99,"Grocery"
"04133102643","GOYA INSTANT YELLOW RICE 6 OZ.",1.99,"Grocery"
"04133102644","GOYA INSTANT MEXICAN RICE 6 OZ",2.29,"Grocery"
"04133102645","GOYA INSTANT BROWN RICE 6 OZ.",2.29,"Grocery"
"04133102646","CANILLA RICE 35 LB",.01,"Grocery"
"04133102648","GOYA RICE W/GREEN PEPPER&CORN",1.79,"Grocery"
"04133102649","GOYA COCONUT RICE 8 OZ.",1.79,"Grocery"
"04133102651","GOYA JASMIN BOX RICE 12 OZ",2.59,"Grocery"
"04133102652","GOYA BASMATI BOX RICE 12 OZ",2.59,"Grocery"
"04133102653","GOYA VALENCIA BOX RICE 12 OZ",2.59,"Grocery"
"04133102654","GOYA ARBORIO BOX RICE 12 OZ",2.59,"Grocery"
"04133102655","RICE AND PINTO BEANS SW 8 OZ",1.79,"Grocery"
"04133102656","HOPPIN'JOHN-RICE/BLACKEYE PEAS",1.79,"Grocery"
"04133102657","CHICKEN FLAVORED RICE 8 OZ",1.79,"Grocery"
"04133102658","LOW SODIUM YELLOW RICE SHIPPER",1.89,"Grocery"
"04133102659","FIESTA RICE 8 OZ",1.79,"Grocery"
"04133102660","PAELLA DINNER KIT 19 OZ",5.19,"Grocery"
"04133102661","ARROZ CON GANDULES 8 OZ",1.79,"Grocery"
"04133102662","YELLOW RICE MIX 8 OZ",1.79,"Grocery"
"04133102663","MEXICAN RICE MIX 8 OZ",1.79,"Grocery"
"04133102664","RICE PRIMAVERA 8 OZ",1.79,"Grocery"
"04133102665","RICE AND BLACK BEANS 8 OZ",1.79,"Grocery"
"04133102666","RICE AND RED BEANS 8 OZ",1.79,"Grocery"
"04133102667","BROCOLLI & CHEESE 8 OZ",1.79,"Grocery"
"04133102668","CURRY RICE 8 OZ",1.79,"Grocery"
"04133102669","ARROZ CON POLLO 17 OZ.",3.99,"Grocery"
"04133102670","YELLOW RICE DISPLAY 8 OZ",1.79,"Grocery"
"04133102672","QUINOA BLEND BR RICE RBP & G",2.79,"Grocery"
"04133102674","QUINOA BLEND BR RICE BLK BEANS",2.79,"Grocery"
"04133102675","SPANISH RICE  8 OZ",1.79,"Grocery"
"04133102677","GOYA YELLOW RICE & RED BNS 24",1.79,"Grocery"
"04133102678","YELLOW BROWN MEXICAN RICE DIS",2.19,"Grocery"
"04133102679","YELLOW RICE AND CORN 8 OZ",1.79,"Grocery"
"04133102680","QUINOA BLEND WILD RICE C&M",2.79,"Grocery"
"04133102681","MULTI PACK YELLOW RICE QTR PL",4.89,"Grocery"
"04133102682","GOYA YELLOW RICE MULTIPACK",4.89,"Grocery"
"04133102683","YELLOW RICE MIX DISP. 384/8 OZ",1.69,"Grocery"
"04133102684","3 MULTIPAK YELLOW RICE DISPLAY",4.89,"Grocery"
"04133102685","YELLOW RICE 14 OZ",2.69,"Grocery"
"04133102694","UHT COCONUT WATER WITH LYCHEE",2.29,"Grocery"
"04133102695","UHT COCONUT WATER WITH MANGO T",2.29,"Grocery"
"04133102696","UHT COCONUT WATER POMEGRANATE",2.29,"Grocery"
"04133102697","UHT COCONUT WATER WITH GUAVA T",2.29,"Grocery"
"04133102701","GOYA DIET PEAR NECTAR",2.39,"Grocery"
"04133102702","LOW SODIUM YELLOW RICE 24/8 OZ",1.89,"Grocery"
"04133102705","GOYA DIET APRICOT NECTAR",2.39,"Grocery"
"04133102707","PEAR NECTAR 33.8 OZ",2.79,"Grocery"
"04133102708","MELOCOTON NECTAR 33.8 OZ",2.79,"Grocery"
"04133102709","ALBARICOQUE NECTAR 33.8 OZ",2.79,"Grocery"
"04133102710","MANZANA NECTAR 33.8 OZ",2.79,"Grocery"
"04133102711","DIET PEAR NECTAR",1.09,"Grocery"
"04133102713","GUAVA NECTAR 33.8 OZ.",2.79,"Grocery"
"04133102714","MANGO NECTAR 33.8 OZ",2.79,"Grocery"
"04133112715","PEAR NECTAR 5 OZ",1.09,"Grocery"
"04133102716","DIET PEACH NECTAR",1.09,"Grocery"
"04133112717","PEACH NECTAR 5 OZ",1.09,"Grocery"
"04133102718","DIET APRICOT NECTAR",1.09,"Grocery"
"04133102720","DIET TAMARIND NECTAR",1.09,"Grocery"
"04133112721","PEAR NECTAR",1.09,"Grocery"
"04133112722","PEACH NECTAR",1.09,"Grocery"
"04133112723","APRICOT NECTAR",1.09,"Grocery"
"04133102724","GOYA DIET TAMRIND NECTAR",2.39,"Grocery"
"04133102725","DIET GUANABANA NECTAR",1.39,"Grocery"
"04133102726","DIET GUAVA NECTAR",1.09,"Grocery"
"04133102727","PINEAPPLE/GUAVA NECTAR 42 OZ",2.39,"Grocery"
"04133102730","DIET MANGO NECTAR",1.09,"Grocery"
"04133102731","PEAR NECTAR 42 OZ",2.39,"Grocery"
"04133102732","PEACH NECTAR 42 OZ",2.39,"Grocery"
"04133102733","APRICOT NECTAR 42 OZ",2.39,"Grocery"
"04133102734","GOYA DIET SOURSOP NECTAR",2.39,"Grocery"
"04133112735","PASSION FRUIT COCKTAIL",1.69,"Grocery"
"04133112736","PEAR/PASSION NECTAR",.89,"Grocery"
"04133112737","PINEAPPLE/PASSION NECTAR",.89,"Grocery"
"04133112738","PINEAPPLE/GUAVA NECTAR",.65,"Grocery"
"04133102739","GOYA DIET GUAVA NECTAR",2.39,"Grocery"
"04133112741","TAMARIND NECTAR",1.09,"Grocery"
"04133102742","ORANGE CARROT NECTAR 33.8 OZ.",2.79,"Grocery"
"04133112743","GUANABANA NECTAR",1.39,"Grocery"
"04133112744","PAPAYA NECTAR",1.19,"Grocery"
"04133112745","GUAVA NECTAR",1.09,"Grocery"
"04133112746","MANGO NECTAR",1.09,"Grocery"
"04133102747","TAMARIND NECTAR 42 OZ",2.39,"Grocery"
"04133102748","GUANABANA NECTAR 42 OZ",2.79,"Grocery"
"04133102749","GUAVA NECTAR 42 OZ",2.39,"Grocery"
"04133102750","MANGO NECTAR 42 OZ",2.39,"Grocery"
"04133112751","TAMARIND NECTAR 5 OZ",1.09,"Grocery"
"04133112752","MANGO NECTAR 5 OZ",1.09,"Grocery"
"04133112755","GUAVA NECTAR 5 OZ",1.09,"Grocery"
"04133102756","PAPAYA NECTAR 42 OZ",2.39,"Grocery"
"04133112760","GOYA STRAWBERRY NECTAR",.65,"Grocery"
"04133112761","BANANA NECTAR",.65,"Grocery"
"04133112762","GOYA STRAW/BANANA NECTAR",.65,"Grocery"
"04133102769","GOYA DIET MANGO NECTAR",2.39,"Grocery"
"04133102770","GOYA PASSION FRUIT COCKTAIL",3.19,"Grocery"
"04133102772","PINEAPPLE COCONUT NECTAR 33.8",2.79,"Grocery"
"04133102778","UHT COCONUT WATER 100% PURE",3.89,"Grocery"
"04133102779","UHT COCONUT WATER 100% PURE",2.29,"Grocery"
"04133112780","PINEAPPLE JUICE  5 OZ",1.09,"Grocery"
"04133102781","GOYA ROASTED COCONUT JUICE",1.09,"Grocery"
"04133102782","PINEAPPLE JUICE 42 OZ",2.59,"Grocery"
"04133112783","PINEAPPLE JUICE",1.09,"Grocery"
"04133102784","GOYA SUGAR CANE JUICE 11.8 OZ",.89,"Grocery"
"04133102785","COCONUT WATER W/PIECES 11.8 OZ",1.09,"Grocery"
"04133102786","UNSWEETENED COCONUT WATER 11.8",1.19,"Grocery"
"04133102787","GOYA COCONUT WATER TALL 17.6OZ",1.29,"Grocery"
"04133102788","UHT COCONUT WATER 24 X 330 ML",1.59,"Grocery"
"04133102791","COCONUT WATER, 5 / 6 PK 8.4 OZ",5.69,"Grocery"
"04133102792","GOYA ROASTED COCONUT JUICE17.6",1.49,"Grocery"
"04133112795","GOYA TROPICAL FRUIT PUNCH",.65,"Grocery"
"04133102796","GOYA TROPICAL FRUIT PUNCH 42 O",2.39,"Grocery"
"04133102800","GOYA PRISMA TAMARIND 33.8 OZ.",2.29,"Grocery"
"04133102802","GOYA PRISMA PINEAPPLE 33.8 OZ.",2.29,"Grocery"
"04133102803","PERAS MITADES GOYA 15.25 OZ",1.89,"Grocery"
"04133102804","GOYA PRISMA PASSION FRUIT CKTL",1.99,"Grocery"
"04133102806","GOYA PRISMA PERA NECTAR 33.8 O",1.79,"Grocery"
"04133102807","GOYA PRISMA PEACH NECTAR 33.8",1.79,"Grocery"
"04133102808","GOYA PRISMA GUAVA NECTAR 33.8",1.79,"Grocery"
"04133102809","GOYA PRISMA MANGO NECTAR 33.8",1.79,"Grocery"
"04133102810","GOYA MANGO BEVERAGE PLASTIC",.79,"Grocery"
"04133102811","GOYA GUAVA BEVERAGE PLASTIC",.79,"Grocery"
"04133102812","APPLE PEACH TROPICAL DRINK",.79,"Grocery"
"04133102813","STRAWBERRY KIWI TROPICAL DRINK",.79,"Grocery"
"04133102815","GOYA PASSION FRT BVRG PLASTIC",.79,"Grocery"
"04133102820","GOYA LIGHT MANGO NECTAR",1.59,"Grocery"
"04133102821","MELOCOTONES REB GOYA 29 OZ",3.69,"Grocery"
"04133102822","MELOCOTONES MITADES GOYA 29 OZ",3.69,"Grocery"
"04133102823","MEXICAN CINNAMON STICK .75 OZ",1.19,"Grocery"
"04133102825","MELOCOTONES REB GOYA 15.25 OZ",1.89,"Grocery"
"04133102826","MELOCOTONES MITADES GOYA 15.25",1.89,"Grocery"
"04133102828","GOYA LIGHT GUAVA NECTAR",1.59,"Grocery"
"04133102832","COCTEL DE FRUTAS GOYA 15.25 OZ",1.89,"Grocery"
"04133102833","COCTEL DE FRUTAS GOYA 30 OZ",3.79,"Grocery"
"04133102839","GOYA WHOLE YELLOW GUAVAS 30 OZ",3.19,"Grocery"
"04133102840","SLICE PINEAPPLE 20 OZ",1.89,"Grocery"
"04133102841","CHUNK PINEAPPLE 20 OZ",1.89,"Grocery"
"04133102843","CHILE PULLA 12/3 OZ",2.39,"Grocery"
"04133102844","CHILE ANCHO 12/3 OZ",2.59,"Grocery"
"04133102845","DICED GREEN CHILES 4 OZ.",1.09,"Grocery"
"04133102846","CHILE GUAJILLO 12/3OZ",2.39,"Grocery"
"04133102847","CHILE MULATO 3 OZ",2.69,"Grocery"
"04133102848","CHILE ARBOL 12/3 OZ",2.29,"Grocery"
"04133102849","CHILE PASILLA 12/3 OZ",2.59,"Grocery"
"04133102850","CHIPOTLES 3 OZ",4.69,"Grocery"
"04133102851","JALAPENO PEPPERS WHOLE 11 OZ",1.39,"Grocery"
"04133102852","JALAPENO PEPPERS WHOLE 26 OZ",1.49,"Grocery"
"04133102853","JALAPENO PEPPERS WHOLE 6 LB",6.59,"Grocery"
"04133102854","DICED GREEN CHILES 7 OZ.",1.39,"Grocery"
"04133102856","PONCHE DRIED FRUIT MIX 8 OZ",4.79,"Grocery"
"04133102857","JALAPENO SLICED GREENS 11 OZ",1.79,"Grocery"
"04133102858","JALAPENO SLICED GREEN 26 OZ",2.69,"Grocery"
"04133102861","SERRANO PEPPERS 11 OZ",1.59,"Grocery"
"04133102862","SERRANO PEPPERS 26 OZ",2.39,"Grocery"
"04133102865","PICKLED NACHOS 26 OZ",2.39,"Grocery"
"04133102866","PICKLED NACHOS 11 OZ",1.69,"Grocery"
"04133102868","WHOLE TOMATILLO 26 OZ",2.39,"Grocery"
"04133102870","CRUSHED TOMATILLO 26 OZ",2.69,"Grocery"
"04133102871","CHILES CHIPOTLES 12/12 OZ",2.59,"Grocery"
"04133102872","NOPALITOS 30 OZ",2.99,"Grocery"
"04133102873","GOYA FLOR DE CALABAZA 7 OZ",2.99,"Grocery"
"04133102874","CHILES CHIPOTLES 7 OZ",1.89,"Grocery"
"04133102876","GOYA HUITLACOCHE",4.89,"Grocery"
"04133102877","SALSA ROJA CASERA MEXICANA",1.19,"Grocery"
"04133102878","SALSA VERDE MEX. 7 OZ",1.09,"Grocery"
"04133102882","SALSITA CHIPOTLE  8 OZ",2.29,"Grocery"
"04133102883","HOJA TAMAL ENCONCHADA 6 OZ",3.29,"Grocery"
"04133102885","SALSITA JALAPENO 8 OZ",2.29,"Grocery"
"04133102886","SALSITA ARBOL 8 OZ",2.29,"Grocery"
"04133102887","SALSITA ANCHO 8 OZ",2.29,"Grocery"
"04133102888","SALSITA HABANERO 8 OZ",2.29,"Grocery"
"04133102889","GOYA SALSA VERDE 17.6 OZ",2.39,"Grocery"
"04133102890","GOYA SALSA TAQUERA 17.6 OZ",2.39,"Grocery"
"04133102891","PICO DE GALLO SALSA 17.6 OZ",2.39,"Grocery"
"04133102892","PICO DE GALLO HOT SALSA 17.6 O",2.39,"Grocery"
"02924300012","LA MODERNA PEARL MUNICION",.49,"Grocery"
"04133102894","BOTANITA HOT SAUCE LIME",1.79,"Grocery"
"04133102895","ZANAHORIAS EN ESCABECHE 12 OZ",1.69,"Grocery"
"03862900191","LA MODERNA SURTIDO  10/24.7OZ",3.99,"Grocery"
"02924300025","LA MODERNA ROTINI TRICOLOR",1.29,"Grocery"
"04133102899","REFRIED BEANS MAYOCOBAS 16 OZ",1.39,"Grocery"
"04133102900","REFRIED BEANS CHORIZO 16 OZ",1.69,"Grocery"
"04133102901","REFRIED BEANS TRADITIONAL 16 O",1.19,"Grocery"
"04133102902","REFRIED BEANS CHIPOTLE  16 OZ",1.39,"Grocery"
"04133102903","REFRIED RANCHEROS   16 OZ",1.39,"Grocery"
"04133102904","GOYA BLACK REFRIED BEANS 16 OZ",1.39,"Grocery"
"04133102905","GOYA MOLE ROJO 12/9 OZ.",3.29,"Grocery"
"04133102906","REFRIED BEANS BLACK FAT FREE",1.29,"Grocery"
"04133102907","REFRIED BEANS PINTO FAT FREE",1.19,"Grocery"
"02924320013","LA MODERNA SOUP SHIPPER 12/3OZ",.69,"Grocery"
"04133102915","BLK BEANS RF REDUCED SODIUM",1.39,"Grocery"
"04133102916","PINTO BEANS RF RED. SODIUM",1.39,"Grocery"
"02924300500","LA MODERNA NIDO FIDEOS",.49,"Grocery"
"02924300023","LA MODERNA GEARS   7.05 OZ",.49,"Grocery"
"02924300024","LA MODERNA MACARONI  7.05 OZ",.49,"Grocery"
"02924300001","LA MODERNA VERNICELLI  7.05 OZ",.49,"Grocery"
"02924300002","LA MODERNA FIDEO   7.05 OZ",.49,"Grocery"
"02924300005","LA MODERNA SPAGHETTI 7.05 OZ",.49,"Grocery"
"02924300006","LA MODERNA MELON SEED  7.05 OZ",.49,"Grocery"
"02924300007","LA MODERNA STARS   7.05 OZ",.49,"Grocery"
"02924300008","LA MODERNA ALPHABETS  7.05 OZ",.49,"Grocery"
"02924300009","LA MODERNA SMALL ELBOWS 7.05 O",.49,"Grocery"
"02924300010","LA MODERNA MEDIUM ELBOW 7.05 O",.49,"Grocery"
"02924300011","LA MODERNA SHELLS       7.05 O",.49,"Grocery"
"02924300501","LA MODERNA COIL VERMICELLI",.49,"Grocery"
"02924300013","LA MODERNA BOWTIE   7.05 OZ",.49,"Grocery"
"02924300019","LA MODERNA SPAGHETTI  16 OZ",.99,"Grocery"
"02924300020","LA MODERNA ELBOW      16 OZ",.99,"Grocery"
"02924300021","LA MODERNA SHELLS     16 OZ",.99,"Grocery"
"02924300022","LA MODERNA VERMICELLI 16 OZ",.99,"Grocery"
"02924320002","LA MDERNA VERMICELLI SOUP",.69,"Grocery"
"02924320010","LA MODERNA ELBOW SOUP",.69,"Grocery"
"03862900010","LA MDRNA MARIA COOKIES 21.1 OZ",2.49,"Grocery"
"03862900091","LA MODERNA ASSORTED CKES 16 OZ",1.99,"Grocery"
"03862900221","LA MODERNA ANIMAL CRACKERS",1.09,"Grocery"
"03862900064","GRAGEAS CKIES LA MODERNA",2.19,"Grocery"
"03862900128","LA MDRNA MRSHMLW CRKER",2.89,"Grocery"
"02924320008","LA MODERNA ALPHABET SOUP 3 OZ",.69,"Grocery"
"02924320007","LA MODERNA STAR SOUP 3 OZ",.69,"Grocery"
"03862900133","LA MODERNA TOSTADA CKIES 14 OZ",2.39,"Grocery"
"03862900158","LA MODERNA JAROCHA CKIES",1.99,"Grocery"
"03862910025","MARIANITA COOKIE",.69,"Grocery"
"02924320011","LA MODERNA VERMICELLI SOUP TOM",.69,"Grocery"
"04133102950","PINTO BEANS RF TRADITIONAL",2.29,"Grocery"
"04741603089","DUX NOCHE BUENA BAG",1.49,"Grocery"
"02924300265","LA MODERNA VERMICELLI BOXED",4.99,"Grocery"
"04133102954","GOYA FLOR DE IZOTE 12/32 OZ.",5.79,"Grocery"
"01090902955","CHOCOLATE LUKER DULCE 17.5 OZ",3.19,"Grocery"
"04741612956","DUX CHRISTMAS ROUND TIN -LARGE",11.39,"Grocery"
"01090902957","CHOCOLATE LUKER AMARGO 8.75 OZ",2.99,"Grocery"
"04741612958","DUX NOCHE BUENA BOX",2.89,"Grocery"
"01090902959","CHOCOLATE EL SOL 17.5 OZ",3.19,"Grocery"
"04741602960","DUX SALTINES  16 OZ",4.99,"Grocery"
"04741604059","DUX XMAS OCTOGON TIN-SMALL",5.29,"Grocery"
"04741602963","DUX SALTINES CRACKERS 28 OZ",7.49,"Grocery"
"04741602964","DUX SODA CRACKERS  16 OZ.",4.99,"Grocery"
"04741602965","DUX SODA CRACKERS  12/28 OZ",7.49,"Grocery"
"04741602966","DUX SODA CRACKER 8/39 OZ",9.89,"Grocery"
"04741602970","DUCALES-DUX SNCK CRKERS 14 OZ",5.39,"Grocery"
"04133102971","PANELA CUADRADA  16 OZ",1.79,"Grocery"
"04133102972","PANELA REDONDA  16 OZ",1.79,"Grocery"
"04133102973","PILONCILLO CONO-PANELA 8 OZ",.99,"Grocery"
"04133102976","REFRIED PINTO BEANS POUCH 15OZ",1.59,"Grocery"
"02924320014","LA MODERNA MUNICION SOUP CKN",.69,"Grocery"
"04133102979","REFRIED BLACK BEANS POUCH 15OZ",1.59,"Grocery"
"04133102980","NANCE 32 OZ",5.39,"Grocery"
"04133102981","CHONTADURO/PEJIVALLES 32 OZ",6.39,"Grocery"
"04133102982","JOCOTE 32 OZ",5.39,"Grocery"
"04133102983","GOYA ENSALADA ENCURTIDO 32 OZ.",4.79,"Grocery"
"04133102984","CURTIDO SALVADORENO 32 OZ",4.79,"Grocery"
"04133102985","TEJOCOTE-MANZANILLA 32 OZ",4.59,"Grocery"
"04133102986","LOROCO 32 OZ",5.79,"Grocery"
"04133102987","PACAYA 32 OZ",6.39,"Grocery"
"02924320015","LA MODERNA FIDEO SOUP CKN 3 OZ",.69,"Grocery"
"04133102990","FRIJOLES VOLTEADOS BLACK 16 OZ",1.79,"Grocery"
"04133102991","FRIJOLES VOLTEADOS RED  16 OZ",1.79,"Grocery"
"08831326202","DUCAL RED REFRIED BEANS",2.49,"Grocery"
"08831306294","DUCAL BLACK REFRIED BEANS",2.49,"Grocery"
"75484210008","CHAO MEIN CANTONESA 12 OZ",2.59,"Grocery"
"07738512345","KIRBY BLACK BEANS  15 OZ",1.29,"Grocery"
"04741612961","DUX HAPPY HOLIDAYS BOX",2.29,"Grocery"
"04133103013","CARNITAS DE CERDO POUCH",3.59,"Grocery"
"07738508915","KIRBY WHT KIDN BEAN POT 15 OZ",2.59,"Grocery"
"08831306228","DUCAL BLACK REFRIED  10.5 OZ",1.19,"Grocery"
"08831306218","DUCAL RED REFRIED 10.5 OZ",1.19,"Grocery"
"08831301834","DUCAL MANZANA NECTAR",.59,"Grocery"
"08831301844","DUCAL MELOCOTON NECTAR  11.20",.59,"Grocery"
"08831301864","DUCAL PERA NECTAR  11.20 OZ",.59,"Grocery"
"08831321874","DUCAL MANGO NECTAR  11.20 OZ",.59,"Grocery"
"08831301854","DUCAL PINA NECTAR",.59,"Grocery"
"08831321244","DUCAL GUAYABA NECTAR  11.20 OZ",.59,"Grocery"
"04741604023","MOJO CRIOLLO 6/ 1/2 GAL",8.29,"Grocery"
"08831326162","DUCAL FRIJOL PARADO",2.79,"Grocery"
"04133103049","MOJO PICANTE 12/24.5 OZ.",2.39,"Grocery"
"04133103051","NARANJA AGRIA 6/1 GAL",7.99,"Grocery"
"04133103055","CHIPOTLE MOJO   15 OZ.",2.29,"Grocery"
"04133103057","LEMON JUICE  32 OZ",2.79,"Grocery"
"04133103058","CHIPOTLE MOJO   24 OZ",2.99,"Grocery"
"04133103059","MOJO CRIOLLO  12 OZ",1.39,"Grocery"
"04133103060","MOJO CRIOLLO 12/24.5 OZ",1.99,"Grocery"
"04133103061","MOJO CRIOLLO  1 GAL",6.99,"Grocery"
"04133103062","NARANJA AGRIA 12 OZ",1.79,"Grocery"
"04133103063","NARANJA AGRIA 24.5 OZ",2.19,"Grocery"
"04133103064","GOYA DULCE DE MANGO",4.29,"Grocery"
"04133103065","GUAVA PASTE 16 OZ",2.19,"Grocery"
"04133103067","GOYA DULCE DE MEMBRILLO",4.69,"Grocery"
"04133103068","GOYA DULCE DE LECHE",5.79,"Grocery"
"04133103069","LIME JUICE 12/32 FL. OZ.",2.99,"Grocery"
"04133103070","GOYA DULCE DE GUAYABA",3.99,"Grocery"
"04133103073","NAPOLITANO DULCE LECHE & GUAVA",3.69,"Grocery"
"04133103077","GOYA GUAVA SHELLS 17 OZ.",2.89,"Grocery"
"04133103078","GOYA GUAVA SHELLS 34 OZ.",5.69,"Grocery"
"04133103079","GUAVA PASTE 21 OZ",2.29,"Grocery"
"04133103080","GUAVA PASTE 21 OZ",2.39,"Grocery"
"04133103082","GOYA GUAVA PASTE  11 OZ",1.59,"Grocery"
"04133103083","GOYA GUAVA PASTE  12/14 OZ",1.79,"Grocery"
"04133103084","GOYA MANGO SLICES WITH PULP",1.59,"Grocery"
"04741605219","DUX WHOLE WHEAT CRACKERS 7.62",2.19,"Grocery"
"04133103087","DULCE DE PAPAYA SLICES 17 OZ",1.89,"Grocery"
"04133103088","DULCE PAPAYA/PAPAYA SLICES 34",3.39,"Grocery"
"04741605195","DUX SODA CRACKERS 12/7.6 OZ",2.19,"Grocery"
"04133103091","MOJO CEVICHE 24.5 OZ.",1.99,"Grocery"
"04133103093","MOJO PINA 24.5 OZ.",1.99,"Grocery"
"03862903095","LA MODERNA SURTIDO PALLET",2.39,"Grocery"
"03862900059","LA MODERNA COCONUT BAR",2.39,"Grocery"
"03862900192","VANILLA WAFER COOKIE 10/21 OZ",2.59,"Grocery"
"08831321742","DUCAL PINEAPPLE NECTAR 8/3 PK",1.29,"Grocery"
"08831321722","DUCAL PEACH NECTAR 8PK",1.29,"Grocery"
"08831321732","DUCAL PEAR NECTAR 8/3 PACK",1.29,"Grocery"
"08831321712","DUCAL APPLE NECTAR 8/3 PK",1.29,"Grocery"
"04133103116","GOYA SUGAR FREE GUAVA PASTE",5.69,"Grocery"
"07456613124","ANCEL PAPAYA CHUNKS 34 OZ",3.39,"Grocery"
"07456613125","ANCEL GRATED COCONUT 34 OZ",3.79,"Grocery"
"07456613126","ANCEL GUAVA SHELLS  34 OZ.",5.59,"Grocery"
"07456613127","ANCEL ORANGE SHELLS 34 OZ",4.79,"Grocery"
"03862900111","LA MODERNA CHOCO CHIP COOKIE",2.39,"Grocery"
"03862900163","LA MODRNA PECAN SHRTBRD COOKIE",2.49,"Grocery"
"07456613130","ANCEL GRATED COCONUT 17 OZ",2.09,"Grocery"
"07456613131","ANCEL GUAVA MARMALADE 17 OZ",1.69,"Grocery"
"07456613133","ANCEL PAPAYA CHUNKS 17 OZ",1.79,"Grocery"
"07456613134","ANCEL GUAVA SHELLS  17 OZ.",2.49,"Grocery"
"07456613138","ANCEL GUAVA PASTE 16 OZ",2.19,"Grocery"
"04133103139","GOYA LEMON JUICE",1.19,"Grocery"
"07456613140","PASTA GUAVA C/JALEA ANCEL 18OZ",2.39,"Grocery"
"04741605296","NOEL SALTIN BRICK QUESO MANTE",1.29,"Grocery"
"04741605298","NOEL SALTIN BAG QUESO Y MANTEQ",1.39,"Grocery"
"07456603145","ANCEL ORANGE SHELLS  17 OZ",2.39,"Grocery"
"04741623002","DUX WHOLE WHEAT/INTEGRAL",6.99,"Grocery"
"04741605365","DUX SODA CRACKERS BOX 23 OZ.",4.69,"Grocery"
"07456613148","MANGO MARMALADE 24/16.5 OZ.",1.69,"Grocery"
"04741605366","DUX SALTIN CRACKERS BOX 23 OZ.",4.69,"Grocery"
"08831300026","DUCAL R BLK BEAN 29OZ+20% FREE",3.19,"Grocery"
"04133103162","GOYA OLLUCO DESHIDRATADO 1.6OZ",2.99,"Grocery"
"04133103165","PASTA DE AJI MIRASOL 12/7.5 OZ",2.39,"Grocery"
"04133103166","PASTA DE HUACATAY 12/7.5 OZ.",2.39,"Grocery"
"04133103167","PASTA DE ROCOTO 12/7.5 OZ.",2.39,"Grocery"
"04133103168","PASTA DE AJI AMARILLO 12/7.5 O",2.39,"Grocery"
"04133103169","PASTA DE AJI PANCA 12/7.5 OZ.",2.39,"Grocery"
"04133103170","ROCOTO EN MIT EN SALMUERA 15OZ",3.59,"Grocery"
"04133103171","AJI AMARILLO ENT EN SALMUERA",3.39,"Grocery"
"04133103172","ROCOTO ENTEROS EN SALMUERA 34",6.49,"Grocery"
